Chaunrah,CNH,Uttar Pradesh,
Chaurakheri,CRKR,,
Chaure Bazar,CHBR,,
Chauri Chaura,CC,Uttar Pradesh,
Chausa,CSA,Bihar,
Chautara,CROA,Assam,
Chauth Ka Brwra,CKB,,
Chavalkhede,CHLK,,
Chawapall,CHA,,
Chaygaon,CGON,Assam,
Chemancheri,CMC,Tamil Nadu,
Chembur,CM,Maharashtra,
Chengalpattu,CGL,Tamil Nadu,
Chengannur,CNGR,Kerala,
Chennai Beach,MSB,Tamil Nadu,
Chennai Central,MAS,Tamil Nadu,
Chennai Egmore,MS,Tamil Nadu,
Chennai Fort,MSF,Tamil Nadu,
Chennai Park,MPK,Tamil Nadu,
Cheriyanad,CYN,Kerala,
Cherthala,SRTL,Kerala,
Chetar,CTQ,,
Chettinad,CTND,Tamil Nadu,
Chhabra Gugor,CAG,,
Chhandrauli,CDRL,,
Chhansara,CASA,,
Chhapi,CHP,Gujarat,
Chhapra,CPR,Bihar,
Chhapra Kacheri,CI,Bihar,
Chharodi,CE,,
Chhatrapur,CAP,Odisha,
Chhidgaon,CGO,,
Chhina,CHN,,
Chhindwara Junction,CWA,Madhya Pradesh,
Chhipadohar,CPDR,,
Chhitauni,CTE,Uttar Pradesh,
Chhota Gudha,COD,,
Chhoti Odai,COO,,
Chianki,CNF,Jharkhand,
Chidambaram,CDM,Tamil Nadu,
Chiheru,CEU,,
Chikballapur,CBP,Karnataka,
Chikkamagaluru railway station,CMGR,Karnataka,
Chikalthan,CTH,,
Chikjajur Junction,JRU,Karnataka,
Chikni Road,CKNI,Maharashtra,
Chikodi Road,CKR,Karnataka,
Chilbila Junction,CIL,,
Chilka,CLKA,Odisha,
Chilo,CLO,,
Chinchli,CNC,,
Chinchpada,CPD,Maharashtra,
Chinchpokli,CHG,Maharashtra,
Chinchwad,CCH,Maharashtra,
Chinna Ganjam,CJM,Andhra Pradesh,
Chinna Salem,CHSM,Tamil Nadu,
Chintamani,CMY,Karnataka,
Chiplun,CHI,Maharashtra,
Chipurupalle,CPP,Andhra Pradesh,
Chirai,CHII,,
Chirala,CLX,Andhra Pradesh,
Chirawa,CRWA,Rajasthan,
Chirayinkil,CRY,Kerala,
Chirgaon,CGN,Uttar Pradesh,
Chirmiri,CHRM,Chhattisgarh,
Chit Baragaon,CBN,,
Chitahra,CTHR,,
Chital,CTL,,
Chitali,CIT,,
Chitradurga,CTA,Karnataka,
Chitrakuta,CKTD,Madhya Pradesh,
Chitrapur,CTTP,Karnataka,
Chitrasani,CTT,,
Chitrawad,CTRD,,
Chitrod,COE,,
Chitapur,CT,Karnataka,
Chittaranjan,CRJ,West Bengal,
Chittaurgarh,COR,Rajasthan,
Chittoor,CTO,Andhra Pradesh,
Chodiala,CDL,Uttarakhand,
Choki Sorath,CKE,,
Chola,CHL,,
Cholang,CGH,,
Chomun Samod,COM,Rajasthan,
Chondi,CWI,,
Chopan,CPU,Uttar Pradesh,
Choral,CRL,,
Chorvad Road,CVR,Gujarat,
Chosla,CSL,,
Choti Khatu,CTKT,,
Chuchura,CNS,West Bengal,
Chuda,CDA,,
Chunabhatti,,Maharashtra,
Chunar,CAR,Uttar Pradesh,
Churchgate,CCG,Maharashtra,
Churk,CUK,Uttar Pradesh,
Churu,CUR,Rajasthan,
Clutterbuckganj,CBJ,Uttar Pradesh,
Cochin Harbour Terminus,CHTS,Kerala,
Coimbatore Junction,CBE,Tamil Nadu,
Coimbatore North Junction,CBF,Tamil Nadu,
Colonelganj,CLJ,Uttar Pradesh,
Contai Road,CNT,West Bengal,
Coonoor,ONR,Tamil Nadu,
Cotton Green,,Maharashtra,
Cuddalore Junction,COT,Tamil Nadu,
Cuddalore Port,CUPJ,Tamil Nadu,
Cuddapah,HX,Andhra Pradesh,
Cumbum,CBM,Tamil Nadu,
Cuttack,CTC,Odisha,
Currey Road,,Maharashtra,
D[edit],,,
Station Name,Station Code,State,
Dabhaura,DBR,,
Dabhoi Junction,DB,,
Dabilpur,DBV,Telangana,
Dabla,DBLA,,
Dabli Rathan,DBI,,
Dabolim,DBM,,
Dabra (Gwalior),DBA,Madhya Pradesh,
Dabtara,DUB,,
Dadar (Western Railway),DDR,Maharashtra,
Dadar (Central Railway),DR,Maharashtra,
Dadri,DER,,
Dagaon,DGX,Assam,
Dagmagpur,DAP,,
Dahanu Road,DRD,Maharashtra,
Dahar Ka Balaji,DKBJ,,
Dahina Zainabad,DZB,,
Dahisar,DIC,Maharashtra,
Dahod,DHD,Gujarat,
Dailwara,DWA,,
Dakaniya Talav,DKNT,,
Dakhineswar,DAKE,West Bengal,
Dakor,DK,,
Daladi,DL,,
Dalauda,DLD,,
Dalelnagar,DLQ,,
Dalgaon,DLO,West Bengal,
Daliganj,DAL,,
Dalhousie Road,DALR,Punjab,
Dalkhola,DLK,West Bengal,
Dalli-Rajhara,DRZ,Chhattisgarh,
Dalmau Junction,DMW,,
Dalmera,DLC,,
Dalpatpur,DLP,,
Dalsingh Sarai,DSS,Bihar,
Daltonganj,DTO,Jharkhand,
Damanjodi,DMNJ,Odisha,
Damchara,DCA,Assam,
Damnagar,DME,,
Damoh,DMO,Madhya Pradesh,
Danapur,DNR,Bihar,
Dandeli,DED,,
Dandupur,DND,,
Dangoaposi,DPS,Jharkhand,
Dangtal,DTX,Assam,
Daniyawan Bzr H,DNWH,,
Dankaur,DKDE,,
Dankuni,DKAE,West Bengal,
Danwar,DAR,,
Dapodi,DAPD,,
Dappar,DHPR,Punjab,
Daotuhaja,DJA,Assam,
Dara,DARA,,
Daraganj,DRGJ,,
Darbhanga Junction,DBG,Bihar,
Darjeeling,DJ,West Bengal,
Darritola,DTL,Chhattisgarh,
Daryabad,DYD,Uttar Pradesh,
Daryapur,DYP,,
Dasna,DS,,
Dasuya,DZA,Punjab,
Datia,DAA,Madhya Pradesh,
Dativali,,Maharashtra,
Daudpur,DDP,Bihar,
Daulatabad,DLB,,
Daund Junction,DD,Maharashtra,
Daundaj,,Maharashtra,
Daurai,DOZ,,
Daurala,DRLA,,
Dauram Madhpura,DMH,,
Dausa,DO,Rajasthan,
Dausni,DSNI,,
Davangere,DVG,Karnataka,
Dayalpur,DLPR,,
Debari,DRB,,
Debipur,DBP,ER/Eastern Railways,
Degana Junction,DNA,,
Dehradun,DDN,Uttranchal,
Dehri On Sone,DOS,Bihar,
Dehu Road,DEHR,,
Dekapam,DKPM,,
Delhi,DLI,Delhi,
Delhi MG,DE,Delhi,
Delhi Azadpur,DAZ,Delhi,
Delhi Cantonment,DEC,Delhi,
Delhi Kishanganj,DKZ,Delhi,
Delhi Sarai Rohilla,DEE,Delhi,
Delhi Safdarjung,DSJ,Delhi,
Delhi Shahdara,DSA,Delhi,
Delvada,DVA,Gujarat,
Demu,DEMU,,
Deoband,DBD,Uttar Pradesh,
Deogan Road,DFR,,
Deoghar Junction,DGHR,Jharkhand,
Deorakot,DELO,,
Deoria Sadar,DEOS,Uttar Pradesh,
Depalsar,DEP,,
Derol,DRL,,
Desari,DES,,
Deshalpar,DSLP,,
Deshnok,DSO,Rajasthan,
Deswal,DSL,,
Detroj,DTJ,,
Devakottai Road,DKO,Tamil Nadu,
Devbaloda Charoda,DBEC,Chhattisgarh,
Devgam,DVGM,,
Devgarh Madriya,DOHM,,
Devlali,DVL,Maharashtra,
Devpura,DPZ,,
Dewalgaon,DEW,,
Dewanganj,DWG,Madhya Pradesh,
Dewas,DWX,Madhya Pradesh,
Dhaban,DABN,,
Dhalaibil,DQL,,
Dhalgaon,DLGN,Maharashtra,
Dhalpukhuri,DHRY,Assam,
Dhamangaon,DMN,Maharashtra,
Dhamni,DNE,,
Dhamora,DAM,,
Dhampur,DPR,,
Dhamtari,DTR,Chhattisgarh,
Dhamua,DMU,,
Dhana Kherli,DXK,,
Dhanakwada,DKW,,
Dhanakya,DNK,,
Dhanari,DN,,
Dhanawala Wada,DHVR,,
Dhanbad Junction,DHN,Jharkhand,
Dhandari Kalan,DDL,,
Dhandhera,DNRA,,
Dhandhuka,DCK,,
Dhanera,DQN,Gujarat,
Dhaneta,DAN,,
Dhangadra,DNG,Gujarat,
Dhanmandal,DNM,Odisha,
Dharamtul,DML,Assam,
Dharangaon,DXG,Maharashtra,
Dhareshwar,DRS,,
Dhari Junction,DARI,,
Dhariwal,DHW,Punjab,
Dharmabad,DAB,Maharashtra,
Dharmanagar,DMR,Tripura,
Dharmapuri,DPJ,Tamil Nadu,
Dharmavaram Junction,DMM,Andhra Pradesh,
Dharmpur Himachal,DMP,Himachal Pradesh,
Dharnaoda,DHR,,
Dharwad,DWR,Karnataka,
Dhasa Junction,DAS,,
Dhaulpur,DHO,Rajasthan,
Dhaura,DUA,,
Dheena,DHA,,
Dhekiajili Road,DKJR,,
Dhemaji,DMC,Assam,
Dhenkanal,DNKL,Odisha,
Dhilwan,DIW,,
Dhinda,DHND,,
Dhindhora HKMKD,DNHK,,
Dhindsa,DDK,,
Dhing,DIU,Assam,
Dhing Bazar,DBZ,Assam,
Dhinoj,DHJ,,
Dhirera,DHRR,,
Dhirganj,DHRJ,,
Dhirpur,DPP,Haryana,
Dhoda Khedi,DHKR,Haryana,
Dhodhar,DOD,,
Dhodra Mohar,DOH,,
Dhola Junction,DLJ,Gujarat,
Dhola Mazra,DHMZ,,
Dholi,DOL,,
Dholka,DOK,,
Dhondi,DNDI,,
Dhoraji,DJI,,
Dhrangadhra Junction,DHG,Gujarat,
Dhubri,DBB,Assam,
Dhule,DHI,Maharashtra,
Dhulghat,DGT,,
Dhulkot,DKT,Haryana,
Dhup Dhara,DPRA,Assam,
Dhupguri,DQG,,
Dhuri Junction,DUI,Punjab,
Dibai,DIB,,
Dibrugarh,DBRG,Assam,
Dibrugarh Town,DBRT,Assam,
Dichpalli,DHP,Telangana,
Didwana,DIA,,
Digaru,DGU,Assam,
Digboi,DBY,Assam,
Dighwara,DGA,,
Digod,DXD,,
Dihakho,DKE,Assam,
Dilawarnagar,DIL,,
Dildarnagar Junction,DLN,Uttar Pradesh,
Dimapur,DMV,Nagaland,
Dimow,DM,,
Dina Nagar,DNN,,
Dinagaon,DIQ,,
Dindigul Junction,DG,Tamil Nadu,
Dingwahi,DWI,,
Dipa,DIPA,,
Diphu,DPU,Assam,
Diplana,DPLN,,
Dipore,DIP,Maharashtra,
Disa,DISA,Gujarat,
Ditokcherra,DTC,Assam,
Diva Junction,,Maharashtra,
Divine Nagar,DINR,Kerala,
Diwana,DWNA,Haryana,
Diwankhavati,DWV,,
Diyodar,DEOR,,
Dobh Bahali,DBHL,,
Dockyard Road,,Maharashtra,
Dodballapur,DBU,Karnataka,
Dodbele,DBL,,
Dohrighat,DIT,,
Doiwala,DWO,,
Dolavli,,Maharashtra,
Dombivli,DI,Maharashtra,
Domingarh,DMG,,
Donakonda,DKD,Andhra Pradesh,
Dondaicha,DDE,Maharashtra,
Dongargaon,DGN,Madhya Pradesh,
Dongargarh,DGG,Chhattisgarh,
Donigal,DOG,,
Doraha,DOA,,
Doravart Chtram,DVR,,
Dornakal Junction,DKJ,Telangana,
Dronachalam Junction,DNC,Andhra Pradesh,
Dubaha,DUBH,,
Dubia,DBW,,
Duddhinagar,DXN,Uttar Pradesh,
Dudh Sagar,DDS,,
Dudhsagar Waterfalls,DWF,Goa,
Dudhani,DUD,,
Dudhia Khurd,DYK,,
Dudhnoi,DDNI,Assam,
Dudhwakhara,DKX,,
Dudia,DUK,Rajasthan,
Dudwindi,DDY,,
Duganpur,DUN,,
Dugdol,DGQ,Gujarat,
Duggirala,DIG,Andhra Pradesh,
Duhai,DXH,[Uttar Pradesh]|,
Duliajan,DJG,Assam,
Dullabcherra,DLCR,Assam,
Dullahapur,DLR,,
Dulrasar,DUS,,
Dum Dum,DDJ,West Bengal,
Dum Dum Cantonment,DDC,West Bengal,
Dumariya,DY,,
Dumraon,DURE,,
Dumka,DMKA,Jharkhand,
Dumuriput,DMRT,Odisha,
Dundara,DOR,Rajasthan,
Dundlod MKDGRH,DOB,,
Dungar Junction,DGJ,,
Dungarpur,DNRP,Rajasthan,
Duraundha Junction,DDA,,
Durgauti,DGO,,
Durg,DURG,Chhattisgarh,
Durgapur,DGR,West Bengal,
Duttapukur,DTK,West Bengal,
Durgapura,DPA,,
Duskheda,DSK,,
Duvvada,DVD,Andhra Pradesh,
Dwarka,DWK,Gujarat,
Dwarkaganj,DWJ,,
E[edit],,,
Station Name,Station Code,State,
Ekambara kuppam,EKM,Andhra Pradesh,
Ekangarsarai,EKR,,
Ekchari,EKC,,
Ekma,EM,Kerala,
Ekma,EKMA,Bihar,
Elamanur,EL,,
Elamanchili,YLM,Andhra Pradesh,
Ellenabad,ENB,Haryana,
Elphinstone Road,EPR,Maharashtra,
Eluru,EE,Andhra Pradesh,
Ennore,ENR,Tamil Nadu,
Eraligu,ELL,Assam,
Eraniel,ERL,Tamil nadu,
Eravipuram,IRP,Kerala,
Ernakulam Junction,ERS,Kerala,
Ernakulam Town,ERN,Kerala,
Ernakulam Terminus,ERG,Kerala,
Erode Junction,ED,Tamil Nadu,
Etah,ETAH,Uttar Pradesh,
Etawah,ETW,Uttar Pradesh,
Ettimadai(Coimbatore),ETMD,Tamil Nadu,
Etmadpur,ETUE,Uttar Pradesh,
Etakkot,ETK,Kerala,
F[edit],,,
Station Name,Station Code,State,
Faizabad Junction,FD,Uttar Pradesh,
Faizullapur,FYZ,,
Fakhrabad,FKB,,
Fakiragram Junction,FKM,Assam,
Falakata,FLK,West Bengal,
Falna,FA,Rajasthan,
Farah Town,FHT,Uttar Pradesh,
Farhedi,FRD,,
Faridabad,FDB,Haryana,
Faridabad New Town,FDN,Haryana,
Faridkot,FDK,Punjab,
Farrukhabad,FBD,Uttar Pradesh,
Farrukhabad,FKD,,
Fateh Singhpura,FSP,,
Fatehabad Chandrawati Ganj Junction,FTD,Madhya Pradesh,
Fatehgarh,FGR,,
Fatehgarh Sahib,FGSB,Punjab,
Fatehnagar,FAN,,
Fatehpur,FTP,,
Fatehpur Sikri,FTS,Uttar Pradesh,
Fatehpur Sekhawati,FPS,Rajasthan,
Fatuha,FUT,Bihar,
Fazalpur,FZL,,
Fazilka,FKA,Punjab,
Ferok,FK,Kerala,
Firozabad,FZD,Uttar Pradesh,
Firozpur Cant.,FZR,Punjab,
Firozpur City,FZP,Punjab,
Forbesganj,FBG,Bihar,
Furkating Junction,FKG,Assam,
Fursatganj,FTG,,
G[edit],,,
Station Name,Station Code,State,
Gachhipura,GCH,Rajasthan,
Gadag Junction,GDG,Karnataka,
Gadarwara,GAR,Madhya Pradesh,
Gadhakda,GKD,,
Gadra Road,GDD,,
Gadwal,GWD,Telangana,
Gahmar,GMR,Uttar Pradesh,
Gainjahwa,GAW,,
Gainsari Junction,GIR,,
Gaipura,GAE,,
Gajraula Junction,GJL,Uttar Pradesh,
Galan,GAA,,
Gambhiri Road,GRF,,
Ganagapur Road,GUR,,
Ganj Dundwara,GWA,,
Ganaur,GNU,Haryana,
Gandhi SMRAK_RD,GSX,,
Gandhidham BG,GIMB,Gujarat,
Gandhidham Junction,GIM,Gujarat,
Gandhigram,GG,,
Gandhinagar JPR,GADJ,Rajasthan,
Gandhinagar Capital,GNC,Gujarat,
Ganeshganj,GAJ,,
Gangaganj,GANG,,
Gangakher,GNH,Maharashtra,
Gangapur City,GGC,Rajasthan,
Gangrar,GGR,,
Gangsar Jaitu,GJUT,Haryana,
Ganj basoda,BAQ,Madhya Pradesh,
Ganjmuradabad,GJMB,,
Gannavaram,GWM,Andhra Pradesh,
Garhi Harsaru,GHH,Haryana,
Garhi Manikpur,GRMR,,
Garhmuktesar,GMS,Uttar Pradesh,
Garhmuktesar BR,GGB,Uttar Pradesh,
Garhwa,GHQ,Jharkhand,
Garot,GOH,,
Garwa Road,GHD,Jharkhand,
Gaura,GRX,,
Gauri Bazar,GB,,
Gauri Phanta,GPF,Uttarakhand,
Gauribidanur,GBD,Karnataka,
Gauriganj,GNG,Uttar Pradesh,
Gauripur,GUP,Assam,
Gauriyamau,GMU,,
Gaushala,GWS,,
Gautampura Road,GPX,,
Gaya Junction,GAYA,Bihar,
Geratpur,GER,,
Gerita Kolvada,GTKD,,
Gevra Road,GAD,Chhattisgarh,
Gevrai,GOI,Maharashtra,
Ghagghar,GHG,Punjab,
Ghagwal,GHGL,,
Ghanauli,GANL,,
Ghansoli,,Maharashtra,
Gharaunda,GRA,Haryana,
Ghaso,GSO,,
Ghataka Varana,GKB,,
Ghatampur,GTM,,
Ghatkopar,G,Maharashtra,
Ghatprabha,GPB,Karnataka,
Ghatsila,GTS,Jharkhand,
Ghaziabad,GZB,Uttar Pradesh,
Ghazipur City,GCT,,
Ghograpur,GOE,Assam,
Gholvad,GVD,Maharashtra,
Ghoradongri,GDYA,Madhya Pradesh,
Ghorawadi,GRWD,,
Ghorpuri,GPR,,
Ghosipura,GOPA,,
Ghosunda,GSD,,
Ghughuli,GH,,
Ghugus,GGS,Maharashtra,
Ghutai,GTI,,
Gidarpindi,GOD,Punjab,
Giddalur,GID,Andhra Pradesh,
Giddarbaha,GDB,,
Gidhaur,GHR,,
Gir Gadhara,GEG,,
Gir Hadmatiya,GRHM,,
Giridih,GRD,Jharkhand,
Girwar,GW,,
Goalpara Town,GLPT,Assam,
Godha,GDHA,,
Godhra Junction,GDA,Gujarat,
Gogameri,GAMI,,
Gogamukh,GOM,,
Gohad Road,GOA,,
Gohana,GHNA,Haryana,
Gohpur,GPZ,,
Gokak Road,GKK,Karnataka,
Gokarna Road,GOK,Karnatak,
Gola Gokarannath,GK,Uttar Pradesh,
Gola Road,GRE,,
Golakganj Junction,GKJ,Assam,
Golanthra,GTA,,
Gole,GOLE,,
Golsar,GOZ,,
Gomati Nagar,GTNR,,
Gomoh Junction,GMO,Jharkhand,
Gonda Junction,GD,,
Gondal,GDL,Gujarat,
Gondia Junction,G,Maharashtra,
Goneana,GNA,,
Gooty,GY,Andhra Pradesh,
Gop Jam,GOP,,
Gopalganj,GOPG,,
Gopalpur,GPPR,,
Gora Ghuma,GGM,,
Gorakhpur Cantonment,GKC,Uttar Pradesh,
Gorakhpur City,GKY,Uttar Pradesh,
Gorakhpur Junction,GKP,Uttar Pradesh,
Goram Ghat,GGO,,
Goraul,GRL,,
Goraya,GRY,,
Goregaon,GMN,Maharashtra,
Goregaon Road Halt,GNO,Maharashtra,
Goresuar,GVR,,
Goriyan,GIO,,
Goshainganj,GGJ,,
Gossaigaon Hat,GOGH,Assam,
Gotan,GOTN,,
Gotegaon,GON,,
Gothaj,GTE,,
Govandi,,Maharashtra,
Goverdhan,GDO,Uttar Pradesh,
Govindgarh,GVG,,
Govindgarh Malk,GND,,
Govindi Marwar,GVMR,Rajasthan,
Govindnagar,GOVR,,
Govindpuri,GOV,Uttar Pradesh,
"Govindpuri, Kanpur",GOY,Uttar Pradesh,
Grant Road,GTR,Maharashtra,
Gudha,GA,,
Guindy,,Tamil Nadu,
Gubbi,GBB,,
Gudivada Junction,GDV,Andhra Pradesh,
Gudiyattam,GYM,Tamil Nadu,
Gudur Junction,GDR,Andhra Pradesh,
Gujhandi,GJD,,
Gulabhganj,GLG,,
Gulabpura,GBP,,
Gulaothi,GLH,,
Gularbhoj,GUB,,
Gulbarga,GR,Karnataka,
Guldhar,GUH,Uttar Pradesh,
Guledagudda Rd,GED,,
Guler,GULR,,
Gulzarbagh,GZH,,
Guma,GUMA,,
Gumia,GMIA,,
Gumman,GMM,,
Gummidipundi,GPD,Tamil Nadu,
Gumthal,GTF,,
Guna,GUNA,Madhya Pradesh,
Gundardehi,GDZ,,
Guneru Bamori,GVB,,
Guntakal Junction,GTL,Andhra Pradesh,
Guntur Junction,GNT,Andhra Pradesh,
Guptipara,GPA,West Bengal,
Guraru,GRRU,,
Gurap,GRAE,West Bengal,
Gurdaspur,GSP,,
Gurgaon,GGN,Haryana,
Gurhi,GUX,,
Guriya,GRI,,
Gurla,GQL,Rajasthan,
Gurmura,GMX,,
Gurpa,GAP,,
Gursahaiganj,GHJ,,
Gursar Shnewala,GSW,,
Gauravpur,GUV,,
Guru Tegh Bahadur Nagar,,Maharashtra,
Guruvayur,GVR,Kerala,
Guwahati,GHY,Assam,
Gwalior,GWL,Madhya Pradesh,
Gyanpur Road,GYN,Uttar Pradesh,Bihar
H[edit],,,
Station Name,Station Code,State,
Hazrat Nizamuddin,NZM,Delhi,
Habaipur,HWX,Assam,
Habibganj,HBJ,Madhya Pradesh,
Habibwala,HBW,,
Hadapsar,HDP,Maharashtra,
Hadmadiya,HRM,,
Hadmatiya Junction,HM,,
Hafizpur,HZR,,
Haflong Hill,HFG,Assam,
Haiaghat,HYT,,
Haibargaon,HBN,Assam,
Haidergarh,HGH,,
Hailakandi,HKD,Assam,
Hajipur Junction,HJP,Bihar,
Hakimpur,HKP,,
Haldaur,HLDR,,
Haldi Road,HLDD,,
Haldibari,HDB,West Bengal,
Haldwani,HDW,Uttarakhand,
Halisahar,HLR,West Bengal,
Halvad,HVD,,
Hamira,HMR,,
Hamirgarh,HMG,,
Hamirpur Road,HAR,Himachal Pradesh,
Hanakere,HNK,,
Handia Khas,HDK,,
Hansi,HNS,Haryana,
Hansiawas,HSWS,,
Hanumangarh Junction,HMH,Rajasthan,
Hanumangarh town,HMO,Rajasthan,
Hanwant,HWT,Rajasthan,
Hapa,HAPA,Gujarat,
Hapur,HPU,Uttar Pradesh,
Harangajao,HJO,Assam,
Harangul,HGL,Maharashtra,
Haranya Kheri,HKH,,
Harauni,HRN,,
Harawada,HAA,Karunadu,
Harchandpur,HCP,,
Harda,HD,Madhya Pradesh,
Hardoi,HRI,Uttar Pradesh,
Harduaganj,HGJ,,
Haridwar Junction,HW,Uttarakhand,
Harihar,HRR,Karnataka,
Harinagar,HIR,,
Haripad,HAD,Kerala,
Haripur,HP,,
Harischandrapur,HCR,West Bengal,
Harishankar Rd,HSK,Odisha,
Harisinga,HRSN,,
Harkia Khal,HKL,,
Harmuti,HMY,Assam,
Harnaut,HRT,Bihar,
Harpalganj,HRPG,,
Harpalpur,HPP,Uttar Pradesh,
Harrawala,HRW,,
Harsauli,HSI,,
Harsud,HRD,,
Harthala,HRH,,
Harwada,HAA,,
Hasimara,HSA,West Bengal,
Hassan,HAS,Karnataka,
Hasanparti Road,,Telangana,
Hathbandh,HN,Chhattisgarh,
Hathidah Junction,HTZ,Bihar,
Hathigadh,HTGR,,
Hathras City,HTC,Uttar Pradesh,
Hathras Junction,HRS,Uttar Pradesh,
Hathras Road,HTJ,Uttar Pradesh,
Hathras Qilla,HTJ,Uttar Pradesh,
Hatia,HTE,Jharkhand,
Hatikhali,HTL,Assam,
Hatkanagale,HTK,,
Hatundi,HTD,,
Haveri,HVR,Karnataka,
Hazaribagh Road,HZD,Jharkhand,
Hejjala,HJL,Karnataka,
Helak,HK,,
Helem,HML,,
Hempur,HMP,,
Hendegir,HNDR,,
Hilara,HLX,Assam,
Hilsa (Kapsima)Vikas kumar),HIL,Bihar,
Himayatnagar,HEM,,
Himmatnagar,HMT,Gujarat,
Hindaun City railway station,HAN,Rajasthan,
Hind Motor,,West Bengal,
Hindu College,HC,Tamil Nadu,
Hindumalkote,HMK,,
Hindupur Junction,HUP,Andhra Pradesh,
Hinganghat,HGT,Maharashtra,
Hingoli Deccan,HNL,Maharashtra,
Hira Nagar,HRNR,,
Hirakud,HKG,Odisha,
Hirapur,HPR,,
Hirdagarh,HRG,,
Hirnoda,HDA,,
Hisar,HSR,Haryana,
Hisvahal,HSL,,
Hodal,HDL,Haryana,
Hojai,HJI,Assam,
Hol,HOL,,
Holambi Kalan,HUK,Delhi,
Hole Alur,HLAR,Karnataka,
Honnavar,HNA,Karnataka,
Hooghly,HGY,West Bengal,
Homnabad,HMBD,Karnataka,
Hooghly Ghat,HYG,West Bengal,
Hosdurga Road,HSD,,
Hoshangabad,HBD,Madhya Pradesh,
Hoshiarpur,HSX,Punjab,
Hospet Junction,HPT,Karnataka,
Hosur,HSRA,Tamil Nadu,
Hotgi Junction,HG,Maharashtra,
Howbadh Jabalpur,HBG,,
Howrah,HWH,West Bengal,
Hubli Central Junction,UBL,Karnataka,
Hugrajuli,HJLI,,
Husainpur,HSQ,,
Hyderabad DeccanNampally,HYB,Telangana,
I[edit],,,
Station Name,Station Code,State,
Ib,IB,Odisha,
Ichapur,unknown,West Bengal,
Ichapuram,IGP,Andhra Pradesh,
Ichauli,ICL,,
Idar,IDAR,GJ,
Idgah Agra Junction,IDH,Uttar Pradesh,
Igatpuri,IGP,Maharashtra,
Ikkar,IKK,,
Iklehra,IKR,,
Inchhapuri,IHP,Haryana,
Indalvai,IDL,,
Indapur,INP,Maharashtra,
Indara Junction,IAA,Uttar Pradesh,
Indargarh,IDG,,
Indi Road,IDR,,
Indore Junction (BG),INDB,Madhya Pradesh,
Indore Junction (MG),INDM,Madhya Pradesh,
Innanje,INJ,,
Intikanne,,,
Intiyathok,ITE,,
Itehar,AAH,Madhya Pradesh,
Iqbal Gadh,IQG,,
Iqbalpur,IQB,,
Irinjalakuda,IJK,Kerala,
Irugur(Coimbatore),IGU,Tamil Nadu,
Isarda,ISA,,
Islampur,IPR,Bihar,
Ismaila Haryana,ISM,Haryana,
Itarsi Junction,ET,Madhya Pradesh,
Itola,ITA,,
Itwari,ITR,Maharashtra,
Izzatnagar,IZN,Uttar Pradesh,
J[edit],,,
Station Name,Station Code,State,
Jabalpur,JBP,Madhya Pradesh,
Jabli,JBL,,
Jabri,JBX,,
Jadar,JADR,,
Jadcherla,JCL,Telangana,
Jagadhri,JUD,Haryana,
Jagadhri Workshop,JUDW,Haryana,
Jagadishpur,JGD,,
Jagaddal,JDL,West Bengal,
Jessore Road,JSOR,West Bengal,
Jagatbela,JTB,,
Jagdalpur,JDB,Chhattisgarh,
Jagdevwala,JDL,,
Jagesharganj,JGJ,,
Jagi road,JID,Assam,
Jagnath Road Halt,JNX,Rajasthan,
Jagraon,JGN,Punjab,
Jahanikhera,JKH,,
Jaipur,JP,Rajasthan,
Jais,JAIS,Uttar Pradesh,
Jaisalmer,JSM,Rajasthan,
Jaithari,JTI,,
Jaitipur,JTU,,
Jaitwar,JTW,,
Jajiwal,JWL,,
Jajpur Kheonjhar Road,JJKR,Odisha,
Jakhal Junction,JHL,Haryana,
Jakhalabandha,JKB,Assam,
Jakhalaun,JLN,,
Jakhania,JKN,Uttar Pradesh,
Jakhaura,JHA,,
Jakhim,JHN,,
Jakhvada,JKA,,
Jaksi,JKS,,
Jalalganj,JLL,,
Jalalpur Dhai,JPD,,
Jalamb Junction,JM,Maharashtra,
Jalandhar Cantonment,JRC,Punjab,
Jalandhar City,JUC,Punjab,
Jalesar Road,JLS,Uttar Pradesh,
Jaleswar,JER,Odisha,
Jalgaon Junction,JL,Maharashtra,
Jalila Road,JIL,,
Jaliya Devani,JALD,,
Jalna,J,Maharashtra,
Jalor,JOR,Rajasthan,
Jalpaiguri,JPG,West Bengal,
Jalpaiguri Road,JPE,West Bengal,
Jalsu,JAC,,
Jalsu Nanak,JACN,,
Jam Jodhpur Junction,JDH,Rajesthan,
Jam Wanthali,WTJ,,
Jamalpur Junction,JMP,Bihar,
Jambara,JMV,,
Jambur,JBB,,
Jamira,JMRA,Assam,
Jammalamadugu,JMDG,Andhra Pradesh,
Jammikunta,JMKT,Telangana,
Jammu Tawi,JAT,Jammu & Kashmir,
Jamnagar,JAM,Gujarat,
Jamsar,JMS,,
Jamtara,JMT,Jharkhand,
Jamui,JMU,Bihar,
Jamunamukh,JMK,Assam,
Jamwala,JVL,,
Janakpur Road,JNR,Bihar,
Jandiala,JNL,,
Jangaon,ZN,Telangana,
Janghai Junction,JNH,Uttar Pradesh,
Jangipur Road,JRLE,West Bengal,
Janiyana,JNE,,
Jankampet Junction,JKM,,
Jaora,JAO,,
